"replication","km_fr","km_eu","hc_fr","hc_eu"
1,0.98,0.963333333333333,0.926666666666667,0.966666666666667
2,0.97,0.966666666666667,0.973333333333333,0.973333333333333
3,0.983333333333333,0.966666666666667,0.91,0.966666666666667
4,0.993333333333333,0.986666666666667,0.983333333333333,0.903333333333333
5,0.97,0.966666666666667,0.873333333333333,0.966666666666667
6,0.973333333333333,0.98,0.966666666666667,0.976666666666667
7,0.986666666666667,0.97,0.863333333333333,0.623333333333333
8,0.976666666666667,0.95,0.966666666666667,0.923333333333333
9,0.98,0.956666666666667,0.926666666666667,0.593333333333333
10,0.986666666666667,0.986666666666667,0.92,0.986666666666667
11,0.98,0.976666666666667,0.616666666666667,0.98
12,0.986666666666667,0.936666666666667,0.966666666666667,0.586666666666667
13,0.983333333333333,0.963333333333333,0.98,0.98
14,0.98,0.966666666666667,0.843333333333333,0.946666666666667
15,0.976666666666667,0.98,0.973333333333333,0.973333333333333
16,0.983333333333333,0.976666666666667,0.986666666666667,0.573333333333333
17,0.966666666666667,0.956666666666667,0.943333333333333,0.953333333333333
18,0.98,0.976666666666667,0.98,0.94
19,0.976666666666667,0.97,0.886666666666667,0.88
20,0.963333333333333,0.93,0.956666666666667,0.886666666666667
21,0.97,0.97,0.966666666666667,0.973333333333333
22,0.99,0.976666666666667,0.993333333333333,0.956666666666667
23,0.986666666666667,0.96,0.963333333333333,0.953333333333333
24,0.986666666666667,0.963333333333333,0.963333333333333,0.98
25,0.966666666666667,0.93,0.956666666666667,0.636666666666667
26,0.97,0.943333333333333,0.936666666666667,0.956666666666667
27,0.98,0.97,0.976666666666667,0.966666666666667
28,0.98,0.966666666666667,0.98,0.98
29,0.98,0.97,0.98,0.98
30,0.993333333333333,0.986666666666667,0.96,0.81
31,0.98,0.956666666666667,0.913333333333333,0.96
32,0.986666666666667,0.983333333333333,0.92,0.98
33,0.97,0.97,0.946666666666667,0.966666666666667
34,0.95,0.94,0.96,0.923333333333333
35,0.973333333333333,0.963333333333333,0.966666666666667,0.753333333333333
36,0.983333333333333,0.966666666666667,0.956666666666667,0.9
37,0.976666666666667,0.963333333333333,0.95,0.893333333333333
38,0.976666666666667,0.976666666666667,0.973333333333333,0.976666666666667
39,0.99,0.976666666666667,0.96,0.883333333333333
40,0.983333333333333,0.956666666666667,0.946666666666667,0.926666666666667
41,0.97,0.956666666666667,0.976666666666667,0.916666666666667
42,0.97,0.94,0.92,0.96
43,0.976666666666667,0.96,0.953333333333333,0.843333333333333
44,0.98,0.94,0.913333333333333,0.983333333333333
45,0.986666666666667,0.97,0.976666666666667,0.983333333333333
46,0.983333333333333,0.953333333333333,0.956666666666667,0.953333333333333
47,0.99,0.983333333333333,0.983333333333333,0.963333333333333
48,0.98,0.97,0.94,0.793333333333333
49,0.986666666666667,0.986666666666667,0.94,0.826666666666667
50,0.98,0.946666666666667,0.91,0.963333333333333
51,0.976666666666667,0.973333333333333,0.956666666666667,0.936666666666667
52,0.986666666666667,0.946666666666667,0.916666666666667,0.916666666666667
53,0.963333333333333,0.973333333333333,0.946666666666667,0.566666666666667
54,0.986666666666667,0.983333333333333,0.966666666666667,0.97
55,0.96,0.946666666666667,0.946666666666667,0.636666666666667
56,0.986666666666667,0.983333333333333,0.983333333333333,0.983333333333333
57,0.986666666666667,0.986666666666667,0.983333333333333,0.916666666666667
58,0.99,0.966666666666667,0.873333333333333,0.92
59,0.976666666666667,0.956666666666667,0.836666666666667,0.89
60,0.973333333333333,0.953333333333333,0.986666666666667,0.916666666666667
61,0.99,0.976666666666667,0.933333333333333,0.796666666666667
62,0.986666666666667,0.963333333333333,0.97,0.923333333333333
63,0.966666666666667,0.976666666666667,0.88,0.86
64,0.976666666666667,0.97,0.953333333333333,0.876666666666667
65,0.97,0.963333333333333,0.956666666666667,0.946666666666667
66,0.973333333333333,0.963333333333333,0.963333333333333,0.97
67,0.986666666666667,0.976666666666667,0.96,0.906666666666667
68,0.973333333333333,0.963333333333333,0.856666666666667,0.943333333333333
69,0.98,0.976666666666667,0.973333333333333,0.566666666666667
70,0.97,0.956666666666667,0.9,0.92
71,0.966666666666667,0.966666666666667,0.94,0.923333333333333
72,0.976666666666667,0.966666666666667,0.946666666666667,0.96
73,0.98,0.97,0.97,0.95
74,0.966666666666667,0.956666666666667,0.95,0.946666666666667
75,0.98,0.98,0.986666666666667,0.533333333333333
76,0.993333333333333,0.993333333333333,0.99,0.983333333333333
77,0.983333333333333,0.983333333333333,0.86,0.846666666666667
78,0.973333333333333,0.98,0.973333333333333,0.846666666666667
79,0.98,0.96,0.956666666666667,0.866666666666667
80,0.98,0.973333333333333,0.773333333333333,0.976666666666667
