"replication","km_fr","km_eu","hc_fr","hc_eu"
1,0.926666666666667,0.92,0.776666666666667,0.89
2,0.956666666666667,0.926666666666667,0.913333333333333,0.566666666666667
3,0.95,0.903333333333333,0.936666666666667,0.636666666666667
4,0.93,0.883333333333333,0.876666666666667,0.613333333333333
5,0.956666666666667,0.946666666666667,0.876666666666667,0.876666666666667
6,0.943333333333333,0.89,0.9,0.59
7,0.926666666666667,0.856666666666667,0.846666666666667,0.85
8,0.956666666666667,0.926666666666667,0.93,0.883333333333333
9,0.926666666666667,0.873333333333333,0.793333333333333,0.59
10,0.963333333333333,0.93,0.886666666666667,0.92
11,0.946666666666667,0.926666666666667,0.92,0.76
12,0.94,0.926666666666667,0.826666666666667,0.636666666666667
13,0.913333333333333,0.906666666666667,0.76,0.613333333333333
14,0.953333333333333,0.956666666666667,0.91,0.633333333333333
15,0.94,0.903333333333333,0.803333333333333,0.616666666666667
16,0.943333333333333,0.91,0.846666666666667,0.576666666666667
17,0.93,0.87,0.906666666666667,0.843333333333333
18,0.94,0.913333333333333,0.853333333333333,0.723333333333333
19,0.94,0.913333333333333,0.903333333333333,0.66
20,0.963333333333333,0.916666666666667,0.613333333333333,0.82
21,0.95,0.923333333333333,0.646666666666667,0.833333333333333
22,0.943333333333333,0.936666666666667,0.896666666666667,0.92
23,0.916666666666667,0.916666666666667,0.91,0.523333333333333
24,0.94,0.906666666666667,0.93,0.706666666666667
25,0.933333333333333,0.906666666666667,0.913333333333333,0.81
26,0.926666666666667,0.9,0.823333333333333,0.646666666666667
27,0.95,0.923333333333333,0.666666666666667,0.83
28,0.946666666666667,0.903333333333333,0.916666666666667,0.753333333333333
29,0.93,0.906666666666667,0.726666666666667,0.893333333333333
30,0.913333333333333,0.87,0.883333333333333,0.833333333333333
31,0.96,0.923333333333333,0.77,0.596666666666667
32,0.943333333333333,0.923333333333333,0.663333333333333,0.94
33,0.946666666666667,0.923333333333333,0.913333333333333,0.873333333333333
34,0.95,0.916666666666667,0.913333333333333,0.59
35,0.926666666666667,0.9,0.87,0.646666666666667
36,0.946666666666667,0.92,0.88,0.72
37,0.95,0.946666666666667,0.88,0.676666666666667
38,0.953333333333333,0.903333333333333,0.75,0.84
39,0.94,0.923333333333333,0.89,0.913333333333333
40,0.973333333333333,0.943333333333333,0.663333333333333,0.58
41,0.923333333333333,0.883333333333333,0.923333333333333,0.54
42,0.946666666666667,0.903333333333333,0.84,0.756666666666667
43,0.97,0.956666666666667,0.873333333333333,0.94
44,0.936666666666667,0.91,0.773333333333333,0.883333333333333
45,0.956666666666667,0.926666666666667,0.926666666666667,0.886666666666667
46,0.943333333333333,0.903333333333333,0.753333333333333,0.796666666666667
47,0.943333333333333,0.883333333333333,0.926666666666667,0.713333333333333
48,0.94,0.926666666666667,0.86,0.546666666666667
49,0.943333333333333,0.92,0.583333333333333,0.903333333333333
50,0.96,0.93,0.726666666666667,0.633333333333333
51,0.946666666666667,0.903333333333333,0.82,0.716666666666667
52,0.93,0.896666666666667,0.896666666666667,0.53
53,0.92,0.85,0.87,0.73
54,0.933333333333333,0.913333333333333,0.753333333333333,0.79
55,0.936666666666667,0.906666666666667,0.9,0.83
56,0.953333333333333,0.906666666666667,0.83,0.553333333333333
57,0.956666666666667,0.903333333333333,0.936666666666667,0.856666666666667
58,0.93,0.933333333333333,0.93,0.616666666666667
59,0.956666666666667,0.91,0.63,0.643333333333333
60,0.953333333333333,0.936666666666667,0.913333333333333,0.923333333333333
61,0.936666666666667,0.886666666666667,0.906666666666667,0.87
62,0.943333333333333,0.923333333333333,0.89,0.69
63,0.956666666666667,0.903333333333333,0.833333333333333,0.873333333333333
64,0.906666666666667,0.906666666666667,0.84,0.793333333333333
65,0.946666666666667,0.883333333333333,0.91,0.606666666666667
66,0.946666666666667,0.943333333333333,0.916666666666667,0.716666666666667
